[WARN ] 2021-04-05 10:58:32,345 com.rds.utils.Api - Failed to parse the following json while querying account holdings: {"code":-1021,"msg":"Timestamp for this request is outside of the recvWindow."}
[WARN ] 2021-04-05 10:58:32,345 com.rds.Runner - Failed to get initial BTC holdings
[INFO ] 2021-04-05 10:58:32,346 com.rds.Runner - Initialising...
[INFO ] 2021-04-05 10:58:32,383 com.rds.Runner - Registered new value listener at url http://localhost:10230/add-price-listener?port=10231. Response was "{"timestamp":"2021-04-05T09:58:32.379+00:00","status":500,"error":"Internal Server Error","message":"","path":"/add-price-listener"}"
[INFO ] 2021-04-05 10:58:32,425 com.rds.algorithms.Algorithm - New average value: 0.035297350000000005
[INFO ] 2021-04-05 10:58:32,425 com.rds.algorithms.Algorithm - RSI: NaN. MACD: 0.0. Average: 0.035297350000000005
[INFO ] 2021-04-05 10:58:32,425 com.rds.algorithms.Algorithm - New average value: 0.0352816
[INFO ] 2021-04-05 10:58:32,426 com.rds.algorithms.Algorithm - RSI: 0.0. MACD: 0.0. Average: 0.035289475
[INFO ] 2021-04-05 10:58:32,426 com.rds.algorithms.Algorithm - New average value: 0.035444149999999994
[INFO ] 2021-04-05 10:58:32,426 com.rds.algorithms.Algorithm - RSI: 91.16657319124927. MACD: 0.0. Average: 0.035341033333333334
[INFO ] 2021-04-05 10:58:32,426 com.rds.algorithms.Algorithm - New average value: 0.0354716
[INFO ] 2021-04-05 10:58:32,426 com.rds.algorithms.Algorithm - RSI: 92.34507897934286. MACD: 0.0. Average: 0.035373675
[INFO ] 2021-04-05 10:58:32,426 com.rds.algorithms.Algorithm - New average value: 0.035477350000000005
[INFO ] 2021-04-05 10:58:32,426 com.rds.algorithms.Algorithm - RSI: 92.55319148936093. MACD: 0.0. Average: 0.03539441
[INFO ] 2021-04-05 10:58:32,426 com.rds.algorithms.Algorithm - New average value: 0.03553630000000001
[INFO ] 2021-04-05 10:58:32,426 com.rds.algorithms.Algorithm - RSI: 94.17637271214585. MACD: 0.0. Average: 0.035418058333333335
